method,mia_score,forget_accuracy,forget_confidence,js_divergence,kl_divergence,relearn_steps,retain_auc,test_auc,wall_clock_seconds,speedup_vs_retrain,changed_params,total_params,pct_params_changed,delta_eo,ece
full_retrain,0.5,0.7714285714285715,0.23850607872009277,0.0,0.0,22,0.8605350093620675,0.7689950980392157,2.2183006330160424,1.0,203711,204481,99.62343689633755,0.34496336996336996,0.1433135818441709
gradient_diff_alpha_2.0,0.6571428571428571,0.7428571428571429,0.3090667128562927,0.018292683698624992,0.0661768987774849,18,0.8378752280885877,0.7714460784313725,4.127553917001933,0.5374371062431366,154398,204481,75.50725984321282,0.36042429792429787,0.08834220627943677
gradient_ascent,0.11428571428571428,0.7571428571428571,0.11080188304185867,0.026372455093902923,0.11665090918540955,9,0.824565588140586,0.7689950980392157,0.6342759769177064,3.4973745084844254,154197,204481,75.40896220186717,0.17989417989417988,0.17264242654045425
finetune_retain,0.5428571428571428,0.8142857142857143,0.24447520077228546,0.012002848761258065,0.04517741501331329,1,0.8253884959868335,0.7771650326797386,0.14419678098056465,15.383842953574899,151061,204481,73.8753233796783,0.29839234839234835,0.11005635261535644
influence_fn,0.5571428571428572,0.8142857142857143,0.242458775639534,0.011964588533543671,0.0450834259390831,1,0.8248279645553316,0.7773692810457516,0.02181426901370287,101.69034917569746,67489,204481,33.00502247152547,0.2721357346357346,0.11635506257414817
scrub,0.24285714285714285,0.8,0.16018658876419067,0.018161124896238712,0.0943693295121193,3,0.7973738506124103,0.7683823529411764,2.175143637927249,1.0198409862853557,154417,204481,75.51655166005644,0.21658017908017904,0.14712604184945421
sisa,0.5571428571428572,0.7571428571428571,0.24165521562099457,0.028404276237124576,0.10529046505689621,9,0.7898603441901513,0.7767565359477124,1.4269954609917477,1.5545253602098674,203709,204481,99.62245881035402,0.02857142857142857,0.10771263778209689
